,總統,黨派,年份,屆次,演說,演說_removePunc,tokens
0,賴清德,民進黨,2024,16,蕭美琴副總統、各位友邦的元首與貴賓、各國駐台使節代表、現場所有的嘉賓，電視機前、還有線上收看直播的好朋友，全體國人同胞，大家好：我年輕的時候，立志行醫救人,蕭美琴副總統各位友邦的元首與貴賓各國駐台使節代表現場所有的嘉賓電視機前還有線上收看直播的好朋友全體國人同胞大家好我年輕的時候立志行醫救人,"['蕭美琴', '副總統', '、', '各位', '友邦', '的', '元首', '與', '貴賓', '、', '各', '國', '駐台', '使節', '代表', '、', '現場', '所有', '的', '嘉賓', '，', '電視機', '前', '、', '還', '有', '線上', '收看', '直', '播', '的', '好朋友', '，', '全體', '國人', '同胞', '，', '大家', '好', '：', '我', '年輕', '的', '時候', '，', '立志', '行醫', '救', '人']"
1,賴清德,民進黨,2024,16,我從政的時候，立志改變臺灣,我從政的時候立志改變臺灣,"['我', '從政', '的', '時候', '，', '立志', '改變', '臺灣']"
2,賴清德,民進黨,2024,16,現在，站在這裡，我立志壯大國家！我以無比堅定的心情，接受人民的託付，就職中華民國第十六任總統，我將依據中華民國憲政體制，肩負起帶領國家勇往前進的重責大任,現在站在這裡我立志壯大國家我以無比堅定的心情接受人民的託付就職中華民國第十六任總統我將依據中華民國憲政體制肩負起帶領國家勇往前進的重責大任,"['現在', '，', '站', '在', '這裡', '，', '我', '立志', '壯大', '國家', '！', '我', '以', '無比', '堅定', '的', '心情', '，', '接受', '人民', '的', '託付', '，', '就職', '中華民國', '第十六', '任', '總統', '，', '我', '將', '依據', '中華民國', '憲政', '體制', '，', '肩負起', '帶領', '國家', '勇往', '前進', '的', '重責大任']"
3,賴清德,民進黨,2024,16,回想1949年的今天，臺灣實施戒嚴，全面進入專制的黑暗年代,回想1949年的今天臺灣實施戒嚴全面進入專制的黑暗年代,"['回想', '1949年', '的', '今天', '，', '臺灣', '實施', '戒嚴', '，', '全面', '進入', '專制', '的', '黑暗', '年代']"
4,賴清德,民進黨,2024,16,1996年的今天，臺灣第一位民選總統宣誓就職，向國際社會傳達，中華民國臺灣是一個主權獨立的國家、主權在民,1996年的今天臺灣第一位民選總統宣誓就職向國際社會傳達中華民國臺灣是一個主權獨立的國家主權在民,"['1996年', '的', '今天', '，', '臺灣', '第一', '位', '民選', '總統', '宣誓', '就職', '，', '向', '國際', '社會', '傳達', '，', '中華民國', '臺灣', '是', '一', '個', '主權', '獨立', '的', '國家', '、', '主權', '在', '民']"
5,賴清德,民進黨,2024,16,2024年的今天，臺灣在完成三次政黨輪替之後，第一次同一政黨連續執政，正式展開第三任期！臺灣也揚帆進入一個充滿挑戰，又孕育無限希望的新時代,2024年的今天臺灣在完成三次政黨輪替之後第一次同一政黨連續執政正式展開第三任期臺灣也揚帆進入一個充滿挑戰又孕育無限希望的新時代,"['2024年', '的', '今天', '，', '臺灣', '在', '完成', '三', '次', '政黨', '輪替', '之後', '，', '第一', '次', '同', '一', '政黨', '連續', '執政', '，', '正式', '展開', '第三', '任期', '！', '臺灣', '也', '揚帆', '進入', '一', '個', '充滿', '挑戰', '，', '又', '孕育', '無限', '希望', '的', '新', '時代']"
6,賴清德,民進黨,2024,16,這段歷程，是這塊土地上的人們，前仆後繼、犧牲奉獻的結果。雖然艱辛，但我們做到了！此時此刻，我們不只見證新政府的開始，也是再一次迎接得來不易的民主勝利！許多人將我和蕭美琴副總統的當選，解讀為「打破八年政黨輪替魔咒」。事實上，民主就是人民作主，每一次的選舉，虛幻的魔咒並不存在，只有人民對執政黨最嚴格的檢驗、對國家未來最真實的選擇,這段歷程是這塊土地上的人們前仆後繼犧牲奉獻的結果雖然艱辛但我們做到了此時此刻我們不只見證新政府的開始也是再一次迎接得來不易的民主勝利許多人將我和蕭美琴副總統的當選解讀為打破八年政黨輪替魔咒事實上民主就是人民作主每一次的選舉虛幻的魔咒並不存在只有人民對執政黨最嚴格的檢驗對國家未來最真實的選擇,"['這', '段', '歷程', '，', '是', '這', '塊', '土地', '上', '的', '人們', '，', '前仆後繼', '、', '犧牲', '奉獻', '的', '結果', '。', '雖然', '艱辛', '，', '但', '我們', '做到', '了', '！', '此時', '此刻', '，', '我們', '不只', '見證', '新政府', '的', '開始', '，', '也', '是', '再一次', '迎接', '得來', '不易', '的', '民主', '勝利', '！', '許多', '人', '將', '我', '和', '蕭美琴', '副總統', '的', '當選', '，', '解讀為', '「', '打破', '八', '年', '政黨', '輪替', '魔咒', '」', '。', '事實', '上', '，', '民主', '就', '是', '人民', '作主', '，', '每', '一', '次', '的', '選舉', '，', '虛幻', '的', '魔咒', '並', '不', '存在', '，', '只有', '人民', '對', '執政黨', '最', '嚴格', '的', '檢驗', '、', '對', '國家', '未來', '最', '真實', '的', '選擇']"
7,賴清德,民進黨,2024,16,我要感謝，過去八年來，蔡英文前總統、陳建仁前副總統和行政團隊的努力，為臺灣的發展，打下堅實的基礎。也請大家一起給他們一個最熱烈的掌聲！我也要再次感謝國人同胞的支持，不受外來勢力的影響，堅定守護民主，向前走；不回頭，為臺灣翻開歷史的新頁！在未來任期的每一天，我將「行公義，好憐憫，存謙卑的心」，「視民如親」，不愧於每一分信賴與託付。新政府也將兢兢業業，拿出最好的表現，來接受全民的檢驗。我們的施政更要不斷革新，開創臺灣政治的新風貌,我要感謝過去八年來蔡英文前總統陳建仁前副總統和行政團隊的努力為臺灣的發展打下堅實的基礎也請大家一起給他們一個最熱烈的掌聲我也要再次感謝國人同胞的支持不受外來勢力的影響堅定守護民主向前走不回頭為臺灣翻開歷史的新頁在未來任期的每一天我將行公義好憐憫存謙卑的心視民如親不愧於每一分信賴與託付新政府也將兢兢業業拿出最好的表現來接受全民的檢驗我們的施政更要不斷革新開創臺灣政治的新風貌,"['我', '要', '感謝', '，', '過去', '八', '年', '來', '，', '蔡英文', '前總統', '、', '陳建仁', '前', '副總統', '和', '行政', '團隊', '的', '努力', '，', '為', '臺灣', '的', '發展', '，', '打下', '堅實', '的', '基礎', '。', '也', '請', '大家', '一起', '給', '他們', '一', '個', '最', '熱烈', '的', '掌聲', '！', '我', '也', '要', '再次', '感謝', '國人', '同胞', '的', '支持', '，', '不', '受', '外來', '勢力', '的', '影響', '，', '堅定', '守護', '民主', '，', '向', '前', '走', '；', '不', '回頭', '，', '為', '臺灣', '翻開', '歷史', '的', '新頁', '！', '在', '未來', '任期', '的', '每', '一', '天', '，', '我', '將', '「', '行', '公義', '，', '好', '憐憫', '，', '存', '謙卑', '的', '心', '」', '，', '「', '視', '民', '如', '親', '」', '，', '不愧', '於', '每', '一', '分', '信賴', '與', '託付', '。', '新政府', '也', '將', '兢兢業業', '，', '拿出', '最', '好', '的', '表現', '，', '來', '接受', '全民', '的', '檢驗', '。', '我們', '的', '施政', '更', '要', '不斷', '革新', '，', '開創', '臺灣', '政治', '的', '新', '風貌']"
8,賴清德,民進黨,2024,16,一、行政立法協調合作，共同推動國政今年二月上任的新國會，是臺灣時隔十六年後，再次出現「三黨不過半」的立法院。面對這個政治新局，有些人抱持期待，也有些人感到憂心,一行政立法協調合作共同推動國政今年二月上任的新國會是臺灣時隔十六年後再次出現三黨不過半的立法院面對這個政治新局有些人抱持期待也有些人感到憂心,"['一', '、', '行政', '立法', '協調', '合作', '，', '共同', '推動', '國政', '今年', '二月', '上任', '的', '新', '國會', '，', '是', '臺灣', '時隔', '十六', '年', '後', '，', '再次', '出現', '「', '三', '黨', '不', '過半', '」', '的', '立法院', '。', '面對', '這', '個', '政治', '新局', '，', '有些', '人', '抱持', '期待', '，', '也', '有些', '人', '感到', '憂心']"
9,賴清德,民進黨,2024,16,我要告訴大家，這是全民選擇的新模式，當我們以新思維看待「三黨不過半」，這代表著，朝野政黨都能分享各自的理念，也將共同承擔國家的種種挑戰,我要告訴大家這是全民選擇的新模式當我們以新思維看待三黨不過半這代表著朝野政黨都能分享各自的理念也將共同承擔國家的種種挑戰,"['我', '要', '告訴', '大家', '，', '這', '是', '全民', '選擇', '的', '新', '模式', '，', '當', '我們', '以', '新', '思維', '看待', '「', '三', '黨', '不', '過半', '」', '，', '這', '代表', '著', '，', '朝野', '政黨', '都', '能', '分享', '各自', '的', '理念', '，', '也', '將', '共同', '承擔', '國家', '的', '種種', '挑戰']"
